id,brthcan,prv,region,marstat
1183,1,24,2,3
1184,1,24,2,5
1185,1,47,4,1
1186,1,13,1,1
1187,1,35,3,1
1188,1,48,4,5
1189,1,12,1,3
1190,2,24,2,6
1191,1,35,3,2
1192,1,59,5,1
1193,1,48,4,6
1194,1,35,3,4
1195,1,24,2,2
1196,2,35,3,3
1197,1,48,4,6
1198,1,24,2,1
1199,1,47,4,6
1200,1,35,3,2
1201,1,35,3,1
1202,1,24,2,1
1203,1,24,2,5
1204,2,59,5,6
1205,1,46,4,1
1206,1,35,3,2
1207,1,59,5,1
1208,1,35,3,6
1209,1,59,5,6
1210,1,24,2,6
1211,1,48,4,1
1212,2,48,4,1
1213,1,35,3,1
1214,1,13,1,6
1215,1,46,4,1
1216,1,12,1,5
1217,1,24,2,6
1218,2,35,3,1
1219,1,13,1,1
1220,2,35,3,1
1221,1,35,3,3
1222,1,48,4,1
1223,1,46,4,3
1224,1,11,1,6
1225,1,24,2,6
1226,1,24,2,2
1227,1,13,1,1
1228,1,35,3,6
1229,1,12,1,1
1230,2,46,4,1
1231,1,46,4,1
1232,1,10,1,4
1233,1,12,1,1
1234,2,35,3,1
1235,2,59,5,1
1236,1,59,5,1
1237,1,13,1,3
1238,1,13,1,2
1239,2,35,3,2
1240,1,35,3,1
1241,1,48,4,5
1242,9,24,2,2
1243,2,59,5,5
1244,1,47,4,4
1245,1,24,2,2
1246,1,59,5,3
1247,1,24,2,5
1248,1,24,2,6
1249,1,59,5,1
1250,1,13,1,1
1251,1,24,2,2
1252,1,59,5,1
1253,1,35,3,1
1254,2,24,2,2
1255,1,35,3,6
1256,1,47,4,1
1257,2,35,3,4
1258,1,35,3,6
1259,1,24,2,2
1260,1,13,1,1
1261,1,35,3,1
1262,1,24,2,1
1263,1,48,4,6
1264,1,48,4,2
1265,1,11,1,6
1266,1,11,1,1
1267,2,48,4,5
1268,1,24,2,2
1269,1,47,4,5
1270,1,59,5,2
1271,1,24,2,1
1272,1,24,2,2
1273,1,10,1,4
1274,1,35,3,3
1275,1,48,4,1
1276,2,35,3,6
1277,2,35,3,1
1278,1,59,5,1
1279,1,12,1,1
1280,2,35,3,6
1281,1,59,5,4
1282,1,35,3,3
1283,1,46,4,6
1284,1,46,4,1
1285,2,35,3,3
1286,2,48,4,1
1287,1,24,2,5
1288,2,24,2,3
1289,1,35,3,1
1290,1,47,4,3
1291,1,35,3,1
1292,1,24,2,1
1293,1,24,2,6
1294,2,46,4,1
1295,2,35,3,1
1296,2,12,1,1
1297,2,35,3,6
1298,1,12,1,1
1299,1,24,2,6
1300,1,47,4,6
1301,1,35,3,1
1302,1,59,5,1
1303,1,48,4,3
1304,1,24,2,1
1305,1,10,1,6
1306,1,35,3,6
1307,1,12,1,6
1308,1,35,3,1
1309,1,13,1,4
1310,1,11,1,3
1311,1,35,3,6
1312,1,24,2,6
1313,1,12,1,2
1314,1,35,3,6
